"3120002","NV8Q - Justin ","Private Call","No","","","","",""
"3120001","NV8Q - Justin ","Private Call","No","","","","",""
"3120003","KC0CGF - Craig ","Private Call","No","","","","",""
"3120004","KC0CGF - Craig ","Private Call","No","","","","",""
"3120005","KD5IMA - David ","Private Call","No","","","","",""
"3120006","K5RDF - Russell ","Private Call","No","","","","",""
"3120007","N1HWC - Bill ","Private Call","No","","","","",""
"3120008","AD0AB - James ","Private Call","No","","","","",""
"3120009","KY0C - John ","Private Call","No","","","","",""
"3120010","KC0KBC - Michael","Private Call","No","","","","",""
"3120011","WA2DGI - George ","Private Call","No","","","","",""
"3120012","KD5IMA - David ","Private Call","No","","","","",""
"3120013","KC0KW - Jerry ","Private Call","No","","","","",""
"3120014","KC0VDH - Richard","Private Call","No","","","","",""
"3120015","K6TBJ - Rod ","Private Call","No","","","","",""
"3120016","W0DEW - Don ","Private Call","No","","","","",""
"3120017","W0STD - Steve ","Private Call","No","","","","",""
"3120018","KD0VXJ - Nichola","Private Call","No","","","","",""
"3120019","KE0CBB - Glenn ","Private Call","No","","","","",""
"3120020","KC0IRF - Noel ","Private Call","No","","","","",""
"3120021","KC4TKL - William","Private Call","No","","","","",""
"3120022","KD0KKV - Scott ","Private Call","No","","","","",""
"3120023","K0KSM - Mark ","Private Call","No","","","","",""
"3120024","K0WJ - Lon ","Private Call","No","","","","",""
"3120025","W0BZL - Robert ","Private Call","No","","","","",""
"3120026","KX0N - Casey ","Private Call","No","","","","",""
"3120027","KB0UOA - Steven ","Private Call","No","","","","",""
"3120028","K0XM - Chuck ","Private Call","No","","","","",""
"3120029","WD0GOQ - Charles","Private Call","No","","","","",""
"3120030","WB0CNK - George ","Private Call","No","","","","",""
"3120031","KD0WMY - Casey ","Private Call","No","","","","",""
"3120032","KC1WIZ - Judy ","Private Call","No","","","","",""
"3120033","WB6DWW - Lynn ","Private Call","No","","","","",""
"3120034","K0LRB - Glenn ","Private Call","No","","","","",""
"3120035","N4AAI - Walt ","Private Call","No","","","","",""
"3120036","N0PPN - Richard ","Private Call","No","","","","",""
