"Pittsburg Analog", "FM", "12.5", "449.800000", "444.800000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "091.5", "091.5", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Russel Analog", "FM", "12.5", "444.950000", "444.950000", "-NULL-", "NORMAL", "Always", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Hays Analog", "FM", "12.5", "447.450000", "442.450000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Hill City Analog", "FM", "12.5", "448.700000", "443.700000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Colby Analog", "FM", "12.5", "449.750000", "444.750000", "-NULL-", "NORMAL", "Always", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Ransom Analog", "FM", "12.5", "448.575000", "443.575000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Scott City  A", "FM", "12.5", "449.950000", "444.950000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "100.0", "100.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Dodge City A", "FM", "12.5", "448.675000", "443.675000", "-NULL-", "NORMAL", "Correct PL", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "162.2", "162.2", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "NONE", "1", "NONE", "1", "1"
"Lecompton DMR kS", "DMR", "12.5", "449.825000", "444.825000", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "1", "HIGH", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "KS", "K0USY MOTO", "1", "NONE", "1", "2"
"Lecompton DMR", "DMR", "12.5", "449.825000", "444.825000", "-NULL-", "NORMAL", "Always", "Low", "Low", "180", "1", "HIGH", "No", "No", "No", "No", "No", "NONE", "NONE", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "NONE", "K0USY MOTO", "1", "NONE", "1", "1"
